Academic Year,TAP College Code,Federal School Code,Level,TAP Level of Study,TAP College Name,Sector Type,TAP Sector Group,TAP Fall Headcount
2002,5151,9895,G,Grad,YESHIVA UNIV GRAD/PROFESSIONAL,PRIVATE,5-INDEPENDENT,113
2002,5142,2894,G,Grad,UNIV OF ROCHESTER SIMON SCH BUS,PRIVATE,5-INDEPENDENT,9
2002,5141,4828,G,Grad,UNIV OF ROCHESTER EASTMAN GRAD,PRIVATE,5-INDEPENDENT,7
2002,5140,2894,G,Grad,UNIV OF ROCHESTER RIVER CAMP GRAD,PRIVATE,5-INDEPENDENT,7
2002,5133,2837,G,Grad,SUNY BUFFALO GRAD MED & DENT,PUBLIC,3-SUNY SO,72
2002,5132,2837,G,Grad,SUNY BUFFALO GRAD LAW,PUBLIC,3-SUNY SO,79
2002,5130,2837,G,Grad,SUNY BUFFALO GRAD,PUBLIC,3-SUNY SO,826
2002,5120,2882,G,Grad,SYRACUSE UNIVERSITY GRAD,PRIVATE,5-INDEPENDENT,50
2002,5115,2772,G,Grad,MERCY COLLEGE GRAD SEMESTER,PRIVATE,5-INDEPENDENT,20
2002,5110,2823,G,Grad,ST JOHNS UNIVERSITY - GRAD,PRIVATE,5-INDEPENDENT,57
2002,5105,2772,G,Grad,MERCY COLLEGE GRAD TRIMESTER/QTR,PRIVATE,5-INDEPENDENT,5
2002,5100,2817,G,Grad,ST BONAVENTURE UNIVERSITY GRAD,PRIVATE,5-INDEPENDENT,5
2002,5080,2803,G,Grad,RENSSELAER POLYTECHNIC INST GRAD,PRIVATE,5-INDEPENDENT,23
2002,5075,2790,G,Grad,NYACK COLLEGE GRAD,PRIVATE,5-INDEPENDENT,6
2002,5070,2796,G,Grad,POLYTECHNIC UNIVERSITY GRAD,PRIVATE,5-INDEPENDENT,9
2002,5060,2785,G,Grad,NEW YORK UNIVERSITY GRAD,PRIVATE,5-INDEPENDENT,395
2002,5050,20662,G,Grad,THE NEW SCHOOL- GRAD,PRIVATE,5-INDEPENDENT,47
2002,5045,2765,G,Grad,MARIST COLLEGE GRAD,PRIVATE,5-INDEPENDENT,5
2002,5042,2722,G,Grad,FORDHAM U GRAD BUS ADMIN,PRIVATE,5-INDEPENDENT,6
2002,5040,2722,G,Grad,FORDHAM UNIVERSITY - GRADUATE,PRIVATE,5-INDEPENDENT,146
2002,5035,2711,G,Grad,CORNELL UNIV.-JOHNSON GRAD SCHOOL,PRIVATE,5-INDEPENDENT,7
2002,5033,2711,G,Grad,CORNELL UNIV LAW SCHOOL,PRIVATE,5-INDEPENDENT,21
2002,5030,2711,G,Grad,CORNELL UNIVERSITY GRAD,PRIVATE,5-INDEPENDENT,48
2002,5025,2707,G,Grad,COLUMBIA UNIV ARTS GRAD,PRIVATE,5-INDEPENDENT,48
2002,5021,3979,G,Grad,COLUMBIA U TEACHERS COL GRAD,PRIVATE,5-INDEPENDENT,55
2002,5020,2707,G,Grad,COLUMBIA U GRADUATE PROGRAMS,PRIVATE,5-INDEPENDENT,72
2002,5017,12277,G,Grad,NEW YORK CHIROPRACTIC COLLEGE,PRIVATE,5-INDEPENDENT,118
2002,5011,2667,G,Grad,DOWLING COLLEGE GRAD,PRIVATE,5-INDEPENDENT,43
2002,5000,2666,G,Grad,ADELPHI UNIVERSITY GRAD,PRIVATE,5-INDEPENDENT,79
2002,4975,11678,U,5 yr Undergrad,SUNY POLYTECHNIC INSTITUTE,PUBLIC,3-SUNY SO,8
2002,4975,11678,U,4 yr Undergrad,SUNY POLYTECHNIC INSTITUTE,PUBLIC,3-SUNY SO,705
2002,4886,2839,U,5 yr Undergrad,SUNY DOWNSTATE MEDICAL CENTER,PUBLIC,3-SUNY SO,1
2002,4886,2839,U,4 yr Undergrad,SUNY DOWNSTATE MEDICAL CENTER,PUBLIC,3-SUNY SO,54
2002,3030,2859,U,5 yr Undergrad,MORRISVILLE STATE COLLEGE,PUBLIC,3-SUNY SO,5
2002,3030,2859,U,2 yr Undergrad,MORRISVILLE STATE COLLEGE,PUBLIC,3-SUNY SO,1927
2002,3025,2858,U,5 yr Undergrad,SUNY COLLEGE OF TECH FARMINGDALE,PUBLIC,3-SUNY SO,1
2002,3025,2858,U,2 yr Undergrad,SUNY COLLEGE OF TECH FARMINGDALE,PUBLIC,3-SUNY SO,744
2002,3020,2857,U,5 yr Undergrad,SUNY COLLEGE OF TECH AT DELHI,PUBLIC,3-SUNY SO,2
2002,3020,2857,U,2 yr Undergrad,SUNY COLLEGE OF TECH AT DELHI,PUBLIC,3-SUNY SO,1285
2002,3015,2856,U,5 yr Undergrad,SUNY COBLESKILL,PUBLIC,3-SUNY SO,1
2002,3015,2856,U,2 yr Undergrad,SUNY COBLESKILL,PUBLIC,3-SUNY SO,1242
2002,3010,2855,U,5 yr Undergrad,SUNY COLLEGE OF TECH AT CANTON,PUBLIC,3-SUNY SO,1
2002,3010,2855,U,2 yr Undergrad,SUNY COLLEGE OF TECH AT CANTON,PUBLIC,3-SUNY SO,1421
2002,3005,2854,U,5 yr Undergrad,SUNY COLLEGE OF TECH AT ALFRED,PUBLIC,3-SUNY SO,2
2002,3005,2854,U,2 yr Undergrad,SUNY COLLEGE OF TECH AT ALFRED,PUBLIC,3-SUNY SO,1719
2002,2320,21700,U,2 yr Undergrad,SWEDISH INSTITUTE 2YR UNDERGRAD,PRIVATE,6-BUS. DEGREE,100
2002,2315,10727,U,2 yr Undergrad,DEVRY COLLEGE OF NEW YORK 2YR,PRIVATE,6-BUS. DEGREE,262
2002,2310,34044,U,2 yr Undergrad,GAMLA COLLEGE,PRIVATE,5-INDEPENDENT,127
2002,2275,7375,U,2 yr Undergrad,ISLAND DRAFTING & TECHNICAL INST.,PRIVATE,6-BUS. DEGREE,143
2002,2270,25994,U,2 yr Undergrad,NY COLLEGE OF HEALTH PROFESSIONS,PRIVATE,5-INDEPENDENT,76
2002,2265,21691,U,2 yr Undergrad,DAVIS COLLEGE,PRIVATE,5-INDEPENDENT,113
2002,2262,13029,U,5 yr Undergrad,BORICUA COLLEGE 4YR UNDERGRAD,PRIVATE,5-INDEPENDENT,4
2002,2262,13029,U,4 yr Undergrad,BORICUA COLLEGE 4YR UNDERGRAD,PRIVATE,5-INDEPENDENT,914
2002,2260,6788,U,2 yr Undergrad,TOMPKINS CORTLAND COMM COLLEGE,PUBLIC,4-SUNY CC,1217
2002,2258,7111,U,2 yr Undergrad,NORTH COUNTRY COMMUNITY COLLEGE,PUBLIC,4-SUNY CC,682
2002,2256,7532,U,5 yr Undergrad,FINGER LAKES COMMUNITY COLLEGE,PUBLIC,4-SUNY CC,2
2002,2256,7532,U,2 yr Undergrad,FINGER LAKES COMMUNITY COLLEGE,PUBLIC,4-SUNY CC,1629
2002,2254,4788,U,2 yr Undergrad,HERKIMER COMMUNITY COLLEGE,PUBLIC,4-SUNY CC,1538
2002,2252,6782,U,2 yr Undergrad,GENESEE COMMUNITY COLLEGE,PUBLIC,4-SUNY CC,1703
2002,2243,6785,U,2 yr Undergrad,SCHENECTADY COUNTY COMM COLLEGE,PUBLIC,4-SUNY CC,999
2002,2240,2867,U,2 yr Undergrad,FULTON MONTGOMERY COMM COLLEGE,PUBLIC,4-SUNY CC,737
2002,2235,2665,U,5 yr Undergrad,VAUGHN COLL AERONAUTICS TECH,PRIVATE,5-INDEPENDENT,4
2002,2235,2665,U,4 yr Undergrad,VAUGHN COLL AERONAUTICS TECH,PRIVATE,5-INDEPENDENT,650
2002,2230,2880,U,5 yr Undergrad,ULSTER COMMUNITY COLLEGE,PUBLIC,4-SUNY CC,1
2002,2230,2880,U,2 yr Undergrad,ULSTER COMMUNITY COLLEGE,PUBLIC,4-SUNY CC,714
2002,2225,2879,U,2 yr Undergrad,SULLIVAN COMMUNITY COLLEGE,PUBLIC,4-SUNY CC,707
2002,2220,2870,U,2 yr Undergrad,JEFFERSON COMMUNITY COLLEGE,PUBLIC,4-SUNY CC,1135
2002,2215,2874,U,2 yr Undergrad,NIAGARA COMMUNITY COLLEGE,PUBLIC,4-SUNY CC,1745
2002,2185,2875,U,5 yr Undergrad,ONONDAGA COMMUNITY COLLEGE,PUBLIC,4-SUNY CC,3
2002,2185,2875,U,2 yr Undergrad,ONONDAGA COMMUNITY COLLEGE,PUBLIC,4-SUNY CC,2312
2002,2180,2872,U,2 yr Undergrad,MONROE COMMUNITY COLLEGE,PUBLIC,4-SUNY CC,4192
2002,2178,7466,U,4 yr Undergrad,LIM COLLEGE,PRIVATE,6-BUS. DEGREE,114
2002,2160,2881,U,2 yr Undergrad,WESTCHESTER COMMUNITY COLLEGE,PUBLIC,4-SUNY CC,1389
2002,2158,2896,U,2 yr Undergrad,VILLA MARIA COLL OF BUFFALO 2YR,PRIVATE,5-INDEPENDENT,219
2002,2157,2878,U,5 yr Undergrad,SUFFOLK COMMUNITY COLLEGE,PUBLIC,4-SUNY CC,2
2002,2157,2878,U,2 yr Undergrad,SUFFOLK COMMUNITY COLLEGE,PUBLIC,4-SUNY CC,3785
2002,2147,2877,U,2 yr Undergrad,ROCKLAND COMMUNITY COLLEGE,PUBLIC,4-SUNY CC,770
2002,2144,2812,U,2 yr Undergrad,TROCAIRE COLLEGE,PRIVATE,5-INDEPENDENT,391
2002,2140,2795,U,2 yr Undergrad,PAUL SMITHS COLLEGE 2 YR UNDEGRAD,PRIVATE,5-INDEPENDENT,298
2002,2125,2876,U,2 yr Undergrad,ORANGE COUNTY COMMUNITY COLLEGE,PUBLIC,4-SUNY CC,1028
2002,2121,2782,U,4 yr Undergrad,NEW YORK INST TECH-EVE SAT PROG,PRIVATE,5-INDEPENDENT,10
