DBN,Community School District,School Name,School Pupil-Teacher Ratio
07X522,CSD 07,BRONX DESIGN AND CONSTRUCTION ACADEMY,10.3
07X527,CSD 07,BRONX LEADERSHIP ACADEMY II HIGH SCHOOL,11.6
07X548,CSD 07,URBAN ASSEMBLY SCHOOL FOR CAREERS IN SPORTS,14.6
07X551,CSD 07,THE URBAN ASSEMBLY BRONX ACADEMY OF LETTERS,8.9
07X557,CSD 07,MOTT HAVEN COMMUNITY HIGH SCHOOL,11.2
07X584,CSD 07,IS 584,9.7
07X600,CSD 07,ALFRED E SMITH CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,12.3
07X670,CSD 07,HEALTH OPPORTUNITIES HIGH SCHOOL,14.9
08X014,CSD 08,PS X014 SENATOR JOHN CALANDRA,15.9
08X036,CSD 08,PS 036 UNIONPORT,14.9
08X048,CSD 08,PS 048 JOSEPH R DRAKE,13.4
08X062,CSD 08,PS 062 INOCENSIO CASANOVA,13.1
08X069,CSD 08,PS 069 JOURNEY PREP SCHOOL,15.4
08X071,CSD 08,PS 071 ROSE E SCALA,13.8
08X072,CSD 08,PS 072 DR WILLIAM DORNEY,13.5
08X075,CSD 08,PS 75 SCHOOL OF RESEARCH AND DISCOVERY,13.9
08X093,CSD 08,PS 093 ALBERT G OLIVER,10.7
08X100,CSD 08,PS 100 ISAAC CLASON,11.7
08X101,CSD 08,MS X101 EDWARD R BYRNE,13.6
08X107,CSD 08,PS 107,14.5
08X119,CSD 08,PS 119,14.9
08X123,CSD 08,JHS 123 JAMES M KIERAN,11.6
08X130,CSD 08,PS 130 ABRAM STEVENS HEWITT,10.5
08X131,CSD 08,JHS 131 ALBERT EINSTEIN,13.9
08X138,CSD 08,PS 138 SAMUEL RANDALL,13.6
08X140,CSD 08,PS X140 THE EAGLE SCHOOL,13.8
08X146,CSD 08,PS 146 EDWARD COLLINS,12.6
08X152,CSD 08,PS 152 EVERGREEN,13.1
08X182,CSD 08,PS 182,14.8
08X269,CSD 08,BRONX STUDIO SCHOOL FOR WRITERS AND ARTISTS,12.2
08X282,CSD 08,WOMEN'S ACADEMY OF EXCELLENCE,12.1
08X293,CSD 08,RENAISSANCE HIGH SCHOOL FOR MUSICAL THEATER & TECHNOLOGY,13.9
08X301,CSD 08,MS 301 PAUL L DUNBAR,10.4
08X302,CSD 08,MS 302 LUISA DESSUS CRUZ,12.6
08X304,CSD 08,PS 304 EARLY CHILDHOOD SCHOOL,16.9
08X312,CSD 08,MILLENNIUM ART ACADEMY,13
08X320,CSD 08,PELHAM LAB HIGH SCHOOL,11.2
08X333,CSD 08,PS 333 - THE MUSEUM SCHOOL,11.6
08X337,CSD 08,THE SCHOOL FOR INQUIRY AND SOCIAL JUSTICE,13
08X348,CSD 08,SCHUYLERVILLE PREPARATORY HIGH SCHOOL,12.6
08X349,CSD 08,BRONX RIVER HIGH SCHOOL,11.9
08X367,CSD 08,"ARCHIMEDES ACADEMY FOR MATH, SCIENCE AND TECHNOLOGY APPLICATIONS",13.8
08X371,CSD 08,URBAN INSTITUTE OF MATHEMATICS,15.3
08X375,CSD 08,THE BRONX MATHEMATICS PREPARATORY SCHOOL,8.8
08X376,CSD 08,ANTONIA PANTOJA PREPARATORY ACADEMY: A COLLEGE BOARD SCHOOL,13
08X377,CSD 08,BRONX COMMUNITY HIGH SCHOOL,11
08X392,CSD 08,BRONX DELTA SCHOOL,11
08X405,CSD 08,HERBERT H LEHMAN HIGH SCHOOL,12.8
08X424,CSD 08,THE HUNTS POINT SCHOOL,11.4
08X432,CSD 08,BRONX BRIDGES HIGH SCHOOL,10.6
08X448,CSD 08,SOUNDVIEW ACADEMY FOR CULTURE AND SCHOLARSHIP,12.6
08X452,CSD 08,BRONX GUILD,10.6
08X467,CSD 08,MOTT HALL COMMUNITY SCHOOL,13.6
08X530,CSD 08,BANANA KELLY HIGH SCHOOL,9.8
