District,Borough,Building ID,School,Project #,Description,FY,Total
01,Manhattan,M034,P.S. 34,DSF0000897947,State of Good Repair - System Replacements - Exterior Masonry,2021,2319915
01,Manhattan,M034,P.S. 34,DSF0000897946,State of Good Repair - System Replacements - Parapets,2021,2643075
01,Manhattan,M034,P.S. 34,DSF0000897945,State of Good Repair - Building Upgrade - Flood Elimination,2021,899858
01,Manhattan,M064,P.S. 64 (OLD 71),DSF0000898265,State of Good Repair - Building Upgrade - Flood Elimination,2020,1745226
01,Manhattan,M064,P.S. 64 (OLD 71),DSF0000898270,State of Good Repair - System Replacements - Exterior Masonry,2020,6701034
01,Manhattan,M064,P.S. 64 (OLD 71),DSF0000898269,State of Good Repair - System Replacements - Parapets,2020,3135589
01,Manhattan,M064,P.S. 64 (OLD 71),DSF0000898268,State of Good Repair - System Replacements - Roofs,2020,4588785
02,Manhattan,M041,P.S. 41,DSF0000897984,State of Good Repair - System Replacements - Parapets,2021,1982307
02,Manhattan,M041,P.S. 41,DSF0000897983,State of Good Repair - System Replacements - Roofs,2021,2518239
02,Manhattan,M041,P.S. 41,DSF0000897985,State of Good Repair - System Replacements - Exterior Masonry,2021,3530306
02,Manhattan,M042,P.S. 42,DSF0000898005,State of Good Repair - System Replacements - Exterior Masonry,2021,4556256
02,Manhattan,M042,P.S. 42,DSF0000898003,State of Good Repair - System Replacements - Parapets,2021,2089949
02,Manhattan,M042,P.S. 42,DSF0000898002,State of Good Repair - System Replacements - Roofs,2021,1510944
02,Manhattan,M042,P.S. 42,DSF0000898004,State of Good Repair - System Replacements - Windows,2021,7952320
02,Manhattan,M042,P.S. 42,DSF0000898000,State of Good Repair - Building Upgrade - Flood Elimination,2021,1207613
04,Manhattan,M072,P.S. 72,DSF0000912082,State of Good Repair - System Replacements - Electrical Systems,2020,250000
04,Manhattan,M108,P.S. 108,DSF0000898614,State of Good Repair - System Replacements - Roofs,2021,3021887
04,Manhattan,M108,P.S. 108,DSF0000898613,State of Good Repair - Building Upgrade - Flood Elimination,2021,1432584
04,Manhattan,M108,P.S. 108,DSF0000898617,State of Good Repair - System Replacements - Exterior Masonry,2021,3530306
05,Manhattan,M046,P.S. 46,DSF0000912080,State of Good Repair - System Replacements - Electrical Systems,2020,400000
05,Manhattan,M129,P.S. 129,DSF0000785990,State of Good Repair - System Replacements - Domestic Piping,2020,942232
05,Manhattan,M129,P.S. 129,DSF0000912084,State of Good Repair - System Replacements - Electrical Systems,2020,180000
05,Manhattan,M161,P.S. 161,DSF0000798537,State of Good Repair - System Replacements - Domestic Piping,2020,909558
06,Manhattan,M028,P.S. 28,DSF0000912179,State of Good Repair - System Replacements - Domestic Piping,2020,728398
06,Manhattan,M052,I.S. 52,DSF0000912081,State of Good Repair - System Replacements - Electrical Systems,2020,200000
06,Manhattan,M098,P.S. 98,DSF0000912083,State of Good Repair - System Replacements - Electrical Systems,2020,320000
06,Manhattan,M173,P.S. 173,DSF0000912086,State of Good Repair - System Replacements - Electrical Systems,2020,30000
06,Manhattan,M176,P.S./I.S. 176,DSF0000899402,State of Good Repair - System Replacements - Parapets,2022,2088003
06,Manhattan,M187,P.S./I.S. 187,DSF0000798540,State of Good Repair - System Replacements - Domestic Piping,2020,878302
